YEAR,MONTH,NPGO_index
1958,10,-0.50880797
1958,11,-0.77451839
1958,12,-0.40523129
1959,1,0.12278854
1959,2,-0.59064476
1959,3,-0.39206877
1959,4,-0.45130383
1959,5,-0.43784908
1959,6,-0.37320207
1959,7,-0.39649446
1959,8,-0.50436494
1959,9,0.072659201
1959,10,0.13413238
1959,11,-0.04796909
1959,12,0.42278478
1960,1,1.0163805
1960,2,0.81857807
1960,3,0.86326859
1960,4,0.79348216
1960,5,0.91892054
1960,6,0.31314454
1960,7,0.70915221
1960,8,0.43794466
1960,9,0.52397594
1960,10,0.48853548
1960,11,0.95336825
1960,12,1.1361285
1961,1,1.1032184
1961,2,1.3593808
1961,3,1.7493986
1961,4,0.95715692
1961,5,1.4002097
1961,6,1.2018429
1961,7,1.0626986
1961,8,1.0746483
1961,9,0.77296683
1961,10,0.34873726
1961,11,0.22058507
1961,12,0.39737078
1962,1,0.17476225
1962,2,-0.14977739
1962,3,-0.60767641
1962,4,-0.47141795
1962,5,-0.73901362
1962,6,-0.30441143
1962,7,-0.062123467
1962,8,-0.37063506
1962,9,0.33421582
1962,10,0.16424001
1962,11,0.44560527
1962,12,0.46514247
1963,1,-0.81285016
1963,2,-0.27996258
1963,3,-1.0965502
1963,4,-0.81056845
1963,5,-0.42822716
1963,6,-0.71623806
1963,7,-0.36669314
1963,8,-0.1346054
1963,9,0.11978808
1963,10,0.50714133
1963,11,0.66107473
1963,12,0.54103299
1964,1,1.0728952
1964,2,0.29248032
1964,3,0.35166979
1964,4,0.25015275
1964,5,0.27190132
1964,6,0.88409534
1964,7,1.6039742
1964,8,0.78188421
1964,9,0.91256373
1964,10,0.71267229
1964,11,0.074383372
1964,12,-0.67944342
1965,1,-0.60927069
1965,2,-0.8375497
1965,3,-0.9425717
1965,4,-0.87943354
1965,5,-1.1591951
1965,6,-0.83030121
1965,7,-0.69218264
1965,8,-0.44396173
1965,9,-0.85712342
1965,10,-0.68304581
1965,11,-0.91841417
1965,12,-1.1935027
1966,1,-0.32304436
1966,2,-1.114448
1966,3,-0.59910173
1966,4,-1.3692633
1966,5,-1.678718
1966,6,-1.2637274
1966,7,-1.1138805
1966,8,-0.97791948
1966,9,-0.75325036
1966,10,-0.79952865
1966,11,-0.93839698
1966,12,-0.54499555
1967,1,-0.73605125
1967,2,-0.61006085
1967,3,-1.1191961
1967,4,-0.89138072
1967,5,-0.99509831
1967,6,-1.252485
1967,7,-1.1731513
1967,8,-0.75379956
1967,9,-0.051677917
1967,10,0.007117774
1967,11,-0.58751481
1967,12,-0.23339957
1968,1,-0.76610972
1968,2,-0.6258595
1968,3,-0.63205407
1968,4,-1.1582636
1968,5,-1.2594507
1968,6,-1.0381912
1968,7,-1.0214287
1968,8,-0.95952812
1968,9,-0.91457811
1968,10,-0.73758116
1968,11,-0.22530564
1968,12,-0.86887064
1969,1,-2.5593478
1969,2,-0.7369928
1969,3,-0.7334626
1969,4,-0.1832465
1969,5,-0.090880893
1969,6,-0.77551688
1969,7,-0.73089032
1969,8,-0.23232563
1969,9,0.015210575
1969,10,0.28993968
1969,11,-0.04127024
1969,12,1.1272413
1970,1,-0.19163922
1970,2,-0.32133677
1970,3,-0.41263578
1970,4,-0.22177049
1970,5,0.48417772
1970,6,0.37084586
1970,7,0.27240294
1970,8,0.41332336
1970,9,0.39857819
1970,10,0.22630739
1970,11,-0.21421458
1970,12,-0.071520774
1971,1,-0.20162668
1971,2,0.059600681
1971,3,0.45392927
1971,4,0.85376876
1971,5,0.49495693
1971,6,0.41262019
1971,7,0.79092532
1971,8,0.70605099
1971,9,0.52842538
1971,10,0.3306484
1971,11,0.18247128
1971,12,-0.027959273
1972,1,-0.5305133
1972,2,-0.40844138
1972,3,-0.69411044
1972,4,-0.68113067
1972,5,-0.74738833
1972,6,-0.7609987
1972,7,-0.32239863
1972,8,-0.42736154
1972,9,-0.92539715
1972,10,-1.0954562
1972,11,-0.55620606
1972,12,-0.76224231
1973,1,-0.048363215
1973,2,-0.50339577
1973,3,-0.072347531
1973,4,-0.050589071
1973,5,0.25466121
1973,6,0.51442802
1973,7,0.32357245
1973,8,0.16718172
1973,9,0.3572996
1973,10,0.35027916
1973,11,-0.11299269
1973,12,0.33929289
1974,1,-1.0033867
1974,2,-0.38642797
1974,3,-0.026205274
1974,4,0.014818799
1974,5,-0.16634801
1974,6,0.21918141
1974,7,0.37670197
1974,8,0.26162988
1974,9,-0.16775789
1974,10,0.007498616
1974,11,0.04270522
1974,12,0.71586735
1975,1,0.63875186
1975,2,0.98490837
1975,3,0.7158461
1975,4,0.64921899
1975,5,0.71586507
1975,6,0.45778814
1975,7,0.51100819
1975,8,1.0259992
1975,9,0.57322177
1975,10,0.95649585
1975,11,1.273857
1975,12,1.0790459
1976,1,1.0782443
1976,2,1.1829994
1976,3,1.6799048
1976,4,2.4363156
1976,5,2.1807639
1976,6,2.0671275
1976,7,2.2670345
1976,8,2.4363637
1976,9,2.4321414
1976,10,1.6933671
1976,11,1.5746724
1976,12,1.3296016
1977,1,1.3217052
1977,2,1.9341241
1977,3,1.699481
1977,4,1.396454
1977,5,1.0719304
1977,6,0.92382978
1977,7,1.0368123
1977,8,1.2847436
1977,9,0.76644075
1977,10,1.2530538
1977,11,1.4486669
1977,12,0.85400226
1978,1,1.2148573
1978,2,1.2447465
1978,3,0.61619694
1978,4,0.45326294
1978,5,0.5867699
1978,6,0.38409043
1978,7,0.42586012
1978,8,0.86398498
1978,9,1.2864755
1978,10,0.35159373
1978,11,-0.25888401
1978,12,-1.1153547
1979,1,-0.51478626
1979,2,-0.23329146
1979,3,-0.62883688
1979,4,-1.034361
1979,5,-0.78180605
1979,6,-0.82272109
1979,7,-1.1482481
1979,8,-1.2509887
1979,9,-0.78481409
1979,10,-0.6129027
1979,11,-0.49207198
1979,12,-0.54143459
1980,1,-1.9028722
1980,2,-1.7223209
1980,3,-1.1510684
1980,4,-0.065782108
1980,5,-0.21080144
1980,6,-0.68274075
1980,7,-0.9904321
1980,8,-1.0831368
1980,9,-0.69690748
1980,10,-0.066023382
1980,11,-0.13450486
1980,12,-0.28269689
1981,1,-0.26440728
1981,2,-1.0577437
1981,3,-0.69053925
1981,4,-0.62670428
1981,5,0.19965579
1981,6,0.008819323
1981,7,-0.52605658
1981,8,-0.69772961
1981,9,0.0029769
1981,10,-0.28779399
1981,11,0.75622012
1981,12,0.52121581
1982,1,-0.19996038
1982,2,-0.87346295
1982,3,-0.62067405
1982,4,-1.0710987
1982,5,-0.99310639
1982,6,-0.8476034
1982,7,-0.61058107
1982,8,-0.45697363
1982,9,-0.45956735
1982,10,-1.0067379
1982,11,-0.86607015
1982,12,-0.2344606
1983,1,0.60465531
1983,2,0.47395959
1983,3,0.43032064
1983,4,-0.72051521
1983,5,-0.74396599
1983,6,-0.076887309
1983,7,-0.04863779
1983,8,-0.010007802
1983,9,-0.40973575
1983,10,-0.48714715
1983,11,0.56100833
1983,12,-0.6778232
1984,1,-0.21510063
1984,2,0.40077926
1984,3,0.71907062
1984,4,1.1599523
1984,5,0.98165596
1984,6,0.73748025
1984,7,0.4158185
1984,8,0.36820697
1984,9,0.82303277
1984,10,0.94333701
1984,11,0.86247744
1984,12,0.25228999
1985,1,0.32392518
1985,2,-0.064661941
1985,3,0.23143699
1985,4,0.31925946
1985,5,0.15633692
1985,6,-0.044718164
1985,7,0.17832952
1985,8,-0.23258976
1985,9,-0.93626777
1985,10,-1.1832549
1985,11,-1.793918
1985,12,-1.6806901
1986,1,-0.7685944
1986,2,-1.4491836
1986,3,-0.46623733
1986,4,-0.96677631
1986,5,-0.49841159
1986,6,-0.66585381
1986,7,-0.94142243
1986,8,-1.0182601
1986,9,-0.768198
1986,10,-0.2937993
1986,11,-0.50124606
1986,12,-0.45618453
1987,1,0.68659838
1987,2,0.7675583
1987,3,0.28541378
1987,4,0.47076848
1987,5,0.27433927
1987,6,0.39440557
1987,7,0.42619958
1987,8,0.3395003
1987,9,0.17022806
1987,10,0.12124511
1987,11,0.52151727
1987,12,0.69232265
1988,1,1.105185
1988,2,0.79684971
1988,3,0.96814878
1988,4,1.5734973
1988,5,1.7784138
1988,6,1.7426903
1988,7,1.7248738
1988,8,1.3928516
1988,9,1.31624
1988,10,1.4868884
1988,11,1.2427056
1988,12,0.75529687
1989,1,1.3125811
1989,2,0.66174412
1989,3,0.92933697
1989,4,0.78376127
1989,5,0.58351058
1989,6,0.5221062
1989,7,1.2640097
1989,8,0.66697628
1989,9,0.65426137
1989,10,0.44178705
1989,11,-0.30061121
1989,12,-0.17257603
1990,1,0.2687734
1990,2,-0.28017566
1990,3,0.65271548
1990,4,0.24156556
1990,5,-0.096055435
1990,6,-0.065433778
1990,7,-0.25829866
1990,8,-0.33040579
1990,9,-0.15925639
1990,10,-0.12022116
1990,11,-0.73895202
1990,12,-1.532809
1991,1,-0.74421842
1991,2,-0.30453129
1991,3,-0.80698494
1991,4,-0.20643753
1991,5,-0.059529254
1991,6,-0.38776968
1991,7,-0.4794923
1991,8,-0.57405316
1991,9,-0.94857557
1991,10,-1.0900901
1991,11,-0.17231725
1991,12,-0.21297704
1992,1,0.49307736
1992,2,-0.45653143
1992,3,-0.82080177
1992,4,-1.4336134
1992,5,-1.7956172
1992,6,-1.3506516
1992,7,-1.4624325
1992,8,-1.2474734
1992,9,-0.94662956
1992,10,-0.96898904
1992,11,-1.2806748
1992,12,-1.8686891
1993,1,-2.8169835
1993,2,-2.1408178
1993,3,-1.7419109
1993,4,-0.75883626
1993,5,-1.0894275
1993,6,-1.6821039
1993,7,-1.6785552
1993,8,-1.5143229
1993,9,-2.0474347
1993,10,-2.3542966
1993,11,-2.9986692
1993,12,-2.0005526
1994,1,-1.8540143
1994,2,-1.9786652
1994,3,-1.8557886
1994,4,-1.4470739
1994,5,-0.30135894
1994,6,-0.61160343
1994,7,-0.71112965
1994,8,-0.85876787
1994,9,-1.1048639
1994,10,-1.1107256
1994,11,-1.6884391
1994,12,-1.0167549
1995,1,-0.49903343
1995,2,-1.5608722
1995,3,-2.0546501
1995,4,-1.8249588
1995,5,-1.5042438
1995,6,-1.0479894
1995,7,-1.4994407
1995,8,-1.0060149
1995,9,-0.89392105
1995,10,-0.51771379
1995,11,-0.2774263
1995,12,0.21576192
1996,1,-0.63897712
1996,2,-1.0529048
1996,3,-1.1487637
1996,4,-0.43611656
1996,5,-1.2747659
1996,6,-1.0600342
1996,7,-0.88413569
1996,8,-0.74825013
1996,9,-0.93392844
1996,10,-1.0410775
1996,11,-1.1001672
1996,12,-1.3549181
1997,1,-1.6402249
1997,2,-1.1130951
1997,3,-0.61802828
1997,4,-0.5061382
1997,5,-0.87719416
1997,6,-0.93839334
1997,7,-0.77236159
1997,8,-0.7858272
1997,9,-0.48147621
1997,10,-0.59425899
1997,11,0.17402893
1997,12,0.26068165
1998,1,0.52791423
1998,2,1.9000587
1998,3,0.89331784
1998,4,0.52151313
1998,5,0.27758158
1998,6,0.11902247
1998,7,0.39316174
1998,8,0.27265688
1998,9,0.044480388
1998,10,0.098751134
1998,11,0.71735091
1998,12,0.76883039
1999,1,1.0828257
1999,2,2.3041594
1999,3,1.9742975
1999,4,1.6464381
1999,5,1.6045933
1999,6,1.9053233
1999,7,1.3811213
1999,8,1.4334654
1999,9,1.3049656
1999,10,1.1788208
1999,11,1.3205504
1999,12,1.0528054
2000,1,1.4045384
2000,2,2.1235311
2000,3,2.1492677
2000,4,2.3652705
2000,5,2.220292
2000,6,2.1020662
2000,7,1.655785
2000,8,1.3516272
2000,9,1.3801795
2000,10,1.6981881
2000,11,2.0145948
2000,12,2.164995
2001,1,2.8619328
2001,2,2.9560468
2001,3,2.388775
2001,4,2.2039413
2001,5,1.9538953
2001,6,2.349303
2001,7,1.5004872
2001,8,1.9150242
2001,9,1.8929954
2001,10,1.1619115
2001,11,1.7645249
2001,12,2.0194831
2002,1,1.8641573
2002,2,2.1773568
2002,3,1.8982763
2002,4,0.89742216
2002,5,1.102573
2002,6,1.6053913
2002,7,1.3822965
2002,8,0.81184355
2002,9,0.82441109
2002,10,0.82363712
2002,11,1.6592152
2002,12,2.6365472
2003,1,1.9691832
2003,2,0.99256558
2003,3,1.4907114
2003,4,1.1017217
2003,5,0.9192588
2003,6,0.77769152
2003,7,1.2024408
2003,8,0.78228794
2003,9,0.8692253
2003,10,1.286991
2003,11,-0.11436786
2003,12,0.22437689
2004,1,0.26501486
2004,2,0.66722957
2004,3,0.38293237
2004,4,0.12524921
2004,5,0.20735337
2004,6,0.77647507
2004,7,0.41156805
2004,8,0.68538324
2004,9,0.37640228
2004,10,0.042904182
2004,11,-0.44177726
2004,12,-0.98521195
2005,1,-1.9348356
2005,2,-1.5993883
2005,3,-1.4269777
2005,4,-1.7172002
2005,5,-0.7822376
2005,6,-1.3968821
2005,7,-1.5583679
2005,8,-1.1386107
2005,9,-1.8340229
2005,10,-1.0356367
2005,11,-1.7418418
2005,12,-1.4634828
2006,1,-0.7054281
2006,2,-0.96234365
2006,3,-0.73545015
2006,4,-0.6410306
2006,5,-0.10933311
2006,6,-0.13355317
2006,7,-0.26416482
2006,8,-0.26908389
2006,9,-0.48276949
2006,10,-0.90868945
2006,11,-1.1642832
2006,12,-0.2233618
2007,1,-0.28665539
2007,2,-0.023274147
2007,3,-0.63695333
2007,4,0.20904368
2007,5,0.51459779
2007,6,1.2697477
2007,7,1.3383559
2007,8,1.2415876
2007,9,0.71523857
2007,10,1.3893583
2007,11,0.71503974
2007,12,0.50766549
2008,1,0.78723997
2008,2,1.2650077
2008,3,1.3266521
2008,4,1.3599268
2008,5,1.7339512
2008,6,1.5539058
2008,7,1.6279422
2008,8,2.1278419
2008,9,2.1982598
2008,10,1.7238394
2008,11,1.768187
2008,12,0.44149951
2009,1,0.72340216
2009,2,0.83063031
2009,3,0.060374696
2009,4,0.22208461
2009,5,0.49203375
2009,6,0.42516748
2009,7,0.33705008
2009,8,0.36646591
2009,9,1.0266757
2009,10,1.0968685
2009,11,0.94410679
2009,12,1.1622121
2010,1,2.0241498
2010,2,1.8351241
2010,3,1.6520432
2010,4,1.1288434
2010,5,1.9813604
2010,6,1.3132158
2010,7,0.82326077
2010,8,0.83186683
2010,9,1.0082582
2010,10,1.4315126
2010,11,0.74255042
2010,12,0.70281794
2011,1,0.20980745
2011,2,0.28656818
2011,3,1.1446473
2011,4,0.72057967
2011,5,1.6721777
2011,6,1.1740161
2011,7,0.58466729
2011,8,0.93083929
2011,9,1.3709266
2011,10,1.0299715
2011,11,0.3228834
2011,12,0.028680966
2012,1,0.66736152
2012,2,0.7175125
2012,3,1.0337716
2012,4,2.0886895
2012,5,1.8115312
2012,6,1.8846908
2012,7,1.6670696
2012,8,1.7534624
2012,9,1.4452765
2012,10,1.6405772
2012,11,1.2699936
2012,12,1.0928954
2013,1,1.1479099
2013,2,1.110598
2013,3,0.69234249
2013,4,0.58926874
2013,5,1.0119185
2013,6,0.69222816
2013,7,0.34242115
2013,8,0.75683693
2013,9,0.35435335
2013,10,-0.20542362
2013,11,-0.77144244
2013,12,-1.362143
2014,1,-0.5781481
2014,2,-0.231468
2014,3,-0.38445781
2014,4,-0.25207359
2014,5,0.30973683
2014,6,-0.42837439
2014,7,-0.1119243
2014,8,-0.51549802
2014,9,-0.87549441
2014,10,0.45922525
2014,11,0.47601831
2014,12,-0.22482132
2015,1,-0.77622781
2015,2,-1.3168216
2015,3,-1.2847062
2015,4,-1.2025686
2015,5,-0.74428979
2015,6,-1.2668676
2015,7,-1.2708062
2015,8,-1.9270991
2015,9,-2.2653568
2015,10,-1.2379889
2015,11,-2.1427865
2015,12,-1.1337781
2016,1,0.949199
2016,2,0.26198374
2016,3,0.62255843
2016,4,-0.24697562
2016,5,-0.71549017
2016,6,-1.0154705
2016,7,-0.49520511
2016,8,-0.86000812
2016,9,-0.73504731
2016,10,0.67628039
2016,11,1.2893178
2016,12,-1.6557218
2017,1,-0.18400461
2017,2,-0.60275559
2017,3,-0.84995303
2017,4,-0.075837334
2017,5,-0.43784853
2017,6,-0.33537899
2017,7,-0.5389408
2017,8,-0.60822731
2017,9,-0.4911033
2017,10,-1.3644901
2017,11,-2.0772007
2017,12,-2.7440941
2018,1,-1.4729318
2018,2,-2.2509143
2018,3,-2.0866373
2018,4,-2.0168875
2018,5,-1.9414124
2018,6,-2.0414256
2018,7,-1.8261688
2018,8,-2.2832322
2018,9,-2.3480174
2018,10,-2.3580847
2018,11,-1.8222829
2018,12,-1.1238295
2019,1,-0.88837855
2019,2,-2.6050149
2019,3,-1.9816496
2019,4,-2.0675651
2019,5,-1.8017983
2019,6,-2.388393
2019,7,-2.2281663
2019,8,-2.1774396
2019,9,-2.5526995
2019,10,-2.6022065
2019,11,-3.4234497
2019,12,-2.6324293
2020,1,-1.5613326
2020,2,-2.3690547
2020,3,-1.9382005
2020,4,-1.9867525
2020,5,-1.5226381
2020,6,-1.9432335
2020,7,-2.1242749
2020,8,-1.462795
2020,9,-1.2785508
2020,10,-1.8493801
2020,11,-2.6590586
2020,12,-1.4198401
2021,1,-0.64166351
2021,2,-1.1312664
2021,3,-0.84696723
2021,4,-1.8547568
2021,5,-0.82447943
2021,6,-0.57936145
2021,7,-0.77476602
2021,8,-1.0608746
2021,9,-0.6949397
2021,10,-0.087718113
2021,11,-0.36653402
2021,12,-2.0884018
2022,1,-1.4146529
2022,2,-2.0935916
2022,3,-1.1043676
2022,4,-0.63966889
2022,5,-0.40822678
2022,6,-0.6716028
2022,7,-0.48225054
2022,8,-0.63506092
2022,9,-0.89135398
2022,10,-1.9049812
2022,11,-2.4665391
2022,12,-2.9537911
2023,1,-1.6885263
2023,2,-2.2435094
2023,3,-2.7823695
2023,4,-1.9492838
2023,5,-1.2931495
2023,6,-1.3224025
2023,7,-1.4115919
2023,8,-1.3941445
2023,9,-1.7556643
2023,10,-1.0919918
2023,11,-1.8512444
2023,12,-1.9111675
