Year ,Date,Time,Recorder,Measurer,Bander ,Other Field Crew ,Box_ID,Adult_in_Box,Nest_Status,Gull_Nest_Within_1m,Number_Eggs,Number_Live_Chicks,Number_Dead_Chicks,Egg_Shells,Egg1_New_Prev,Egg1_Weight,Egg1_Width,Egg1_Length,Egg2_New_Prev,Egg2_Weight,Egg2_Width,Egg2_Length,Chick1_Left_Wing_Chord,Chick1_Left_Tarsus,Chick1_Bill_Length,Chick1_Bill_Depth,Chick1_Weight,Chick2_Left_Wing_Chord,Chick2_Left_Tarsus,Chick2_Bill_Length,Chick2_Bill_Depth,Chick2_Weight,Notes,Nest_Box_Photo
2024,7/23/2024,14:15,Eve Hallock,Alex Coenen,Alex Coenen,Nate Redon,KP_02,Yes,Live Eggs in Box ,No,2,0,0,0,Prev,58,,,Prev,56,,,,,,,,,,,,,,
2024,7/31/2024,13:05,Alex Coenen,Eric Wagner,,,KP_02,No,Live Eggs in Box ,No,2,0,0,0,Prev,53,,,Prev,52,,,,,,,,,,,,,Adult flewout of box as before we apprached. Yellow on left leg? Eggs #2 has tiny bit of outer shell missing. Toasty eggs!,
2024,8/6/2024,13:07,Timothy Chen,Alex Coenen,,Timothy Chen,KP_02,No,Live egg and chick in box,No,1,1,0,0,Prev,48,,,,,,,24,23.9,9.9,6.4,45,,,,,,"egg cold, will collect next week just in case.",
2024,8/15/2024,12:24,Alex Coenen,Eve Hallock,,,KP_02,No,Live chick dead egg in box ,No,1,1,0,0,,,,,,,,,39,27.4,18.5,7.2,121,,,,,,"egg not hatched for 7 weeks, collected",
2024,8/20/2024,10:43,Alex Coenen,Alex Coenen,,Eric Wagner,KP_02,No,Live chicks in box,No,0,1,0,0,,,,,,,,,59,28.2,28.2,11.1,159,,,,,,not banded; too small. will band next week,
2024,8/27/2024,10:58,Alex Coenen,Alex Coenen,Alex Coenen,Matt Farr,KP_02,No,Live chicks in box,No,0,1,0,0,,,,,,,,,86,32.6,16.8,9.5,236,,,,,,,
2024,9/3/2024,11:15,Sarah Converse,Alex Coenen,Sarah Converse ,,KP_02,No,Live chicks in box ,No,0,1,0,0,,,,,,,,,,,,,,,,,,,,
2024,9/10/2024,10:11,Alex Coenen,Sarah Converse,,,KP_02,No,Live chicks in box ,No,0,1,0,0,,,,,,,,,133,32.8,26,10.1,326,,,,,,,
2024,9/17/2024,10:29,Alex Coenen,Alex Coenen,,Matt Farr,KP_02,No,Live chicks in box ,No,0,1,0,0,,,,,,,,,148,39.2,23.1,9.8,344,,,,,,,
2024,9/24/2024,11:00,Alex Coenen,,,Matt Farr,KP_02,No,Empty,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,5/30/2024,NA,Jessie Beck,,,,KP_03,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,6/6/2024,12:15,Sarah Converse ,,,,KP_03,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,6/13/2024,13:10,Alex Coenen,,,,KP_03,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,6/18/2024,15:00,Sarah Converse ,,,,KP_03,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,6/25/2024,15:39,Amelia DuVall,,,,KP_03,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,7/2/2024,14:06,Alex Coenen,,,,KP_03,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,7/9/2024,15:24,Alex Coenen,,,,KP_03,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,7/16/2024,13:48,Sarah Converse ,,,,KP_03,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,7/23/2024,14:20,Eve Hallock,,,,KP_03,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,7/31/2024,13:10,Alex Coenen,,,Eric Wagner,KP_03,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,8/6/2024,13:18,Alex Coenen,,,Timothy Chen,KP_03,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,8/15/2024,12:31,Alex Coenen,,,Eve Hallock,KP_03,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,8/20/2024,10:44,Eric Wagner,,,Alex Coenen,KP_03,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,8/27/2024,11:14,Alex Coenen,,,Matt Farr,KP_03,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,9/3/2024,11:15,Sarah Converse,,,Alex Coenen,KP_03,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,9/10/2024,NA,Alex Coenen,,,Sarah Converse,KP_03,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,9/17/2024,NA,Alex Coenen,,,Matt Farr,KP_03,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,9/24/2024,NA,Alex Coenen,,,Matt Farr,KP_03,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,5/30/2024,NA,Jessie Beck,,,,KP_04,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,6/6/2024,12:15,Sarah Converse ,,,,KP_04,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,6/13/2024,13:10,Alex Coenen,,,,KP_04,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,6/18/2024,15:00,Sarah Converse ,,,,KP_04,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,6/25/2024,15:40,Amelia DuVall,Alex Coenen,,,KP_04,No,Live Eggs in Box ,No,2,0,0,0,New,56,40.4,60.9,New,56,40.6,59.6,,,,,,,,,,,"eggs slightly cold, a little chalky",
2024,7/2/2024,14:06,Alex Coenen,Eric Wagner,,Sarah Converse ,KP_04,Yes,Live Eggs in Box ,No,2,0,0,0,Prev,55,,,Prev,53,,,,,,,,,,,,,eggs normal temp.,
2024,7/9/2024,15:24,Alex Coenen,Sarah Converse ,,Eric Wagner,KP_04,No,Live Eggs in Box ,No,2,0,0,0,Prev,54,,,Prev,55,,,,,,,,,,,,,,
2024,7/16/2024,13:49,Sarah Converse ,Alex Coenen,,,KP_04,No,Live Eggs in Box ,No,2,0,0,0,Prev,54,,,Prev,53,,,,,,,,,,,,,,
2024,7/23/2024,14:30,Eve Hallock,Alex Coenen,,Nate Redon,KP_04,No,Live Eggs in Box ,No,2,0,0,0,Prev,54,,,Prev,53,,,,,,,,,,,,,eggs a little cold,
2024,7/31/2024,13:11,Alex Coenen,Eric Wagner,,,KP_04,No,Live Eggs in Box ,No,2,0,0,0,Prev,51,,,Prev,50,,,,,,,,,,,,,eggs slightly cold. Potentiall eagle poop nearby? potential abandonment,
2024,8/6/2024,13:18,Alex Coenen,Alex Coenen,,Timothy Chen,KP_04,no,"Live egg, dead egg",No,1,0,0,1,Prev,54,,,,,,,,,,,,,,,,,"only one egg. other egg broken outside of nest box. Collected broken egg, scat nearby. not sure what could have eaten this egg ( AC has photos: IMG_7145, IMG_7146, IMG_7147)",
2024,8/15/2024,12:32,Alex Coenen,,,Eve Hallock,KP_04,No,Dead eggs in box,No,1,0,0,0,,,,,,,,,,,,,,,,,,,eagle poop nearby. ran out of ziplock bags - will collect next week,
2024,8/20/2024,10:45,Alex Coenen,,,Eric Wagner,KP_04,No,Dead egg in box,No,1,0,0,0,,,,,,,,,,,,,,,,,,,collected,
2024,8/27/2024,11:14,Alex Coenen,,,Matt Farr,KP_04,No,Empty,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,9/3/2024,11:15,Sarah Converse,,,Alex Coenen,KP_04,No,Empty,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,9/10/2024,NA,Alex Coenen,,,Sarah Converse,KP_04,No,Empty,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,9/17/2024,NA,Alex Coenen,,,Matt Farr,KP_04,No,Empty,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,9/24/2024,NA,Alex Coenen,,,Matt Farr,KP_04,No,Empty,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,5/30/2024,NA,Jessie Beck,,,,KP_05,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,6/6/2024,12:15,Sarah Converse ,,,,KP_05,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,6/13/2024,13:11,Alex Coenen,,,,KP_05,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,6/18/2024,15:00,Sarah Converse ,,,,KP_05,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,6/25/2024,15:48,Amelia DuVall,,,,KP_05,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,7/2/2024,14:26,Alex Coenen,,,,KP_05,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,7/9/2024,15:59,Alex Coenen,,,,KP_05,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,7/16/2024,13:50,Sarah Converse ,,,,KP_05,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,7/23/2024,14:32,Eve Hallock,,,,KP_05,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,7/31/2024,13:12,Alex Coenen,,,Eric Wagner,KP_05,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,8/6/2024,13:30,Alex Coenen,,,Timothy Chen,KP_05,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,8/15/2024,12:35,Alex Coenen,,,Eve Hallock,KP_05,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,8/20/2024,10:46,Eric Wagner,,,Alex Coenen,KP_05,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,8/27/2024,11:15,Alex Coenen,,,Matt Farr,KP_05,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,9/3/2024,11:15,Sarah Converse,,,Alex Coenen,KP_05,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,9/10/2024,NA,Alex Coenen,,,Sarah Converse,KP_05,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,9/17/2024,NA,Alex Coenen,,,Matt Farr,KP_05,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,9/24/2024,NA,Alex Coenen,,,Matt Farr,KP_05,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,5/30/2024,NA,Jessie Beck,,,,KP_06,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,6/6/2024,12:15,Sarah Converse ,,,,KP_06,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,6/13/2024,13:11,Alex Coenen,,,,KP_06,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,6/18/2024,15:00,Sarah Converse ,,,,KP_06,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,6/25/2024,15:47,Amelia DuVall,,,,KP_06,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,7/2/2024,14:26,Alex Coenen,,,,KP_06,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,7/9/2024,15:59,Alex Coenen,,,,KP_06,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,7/16/2024,13:51,Sarah Converse ,,,,KP_06,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,7/23/2024,14:32,Eve Hallock,,,,KP_06,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,7/31/2024,13:13,Alex Coenen,,,Eric Wagner,KP_06,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,8/6/2024,13:30,Alex Coenen,,,Timothy Chen,KP_06,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,8/15/2024,12:35,Alex Coenen,,,Eve Hallock,KP_06,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,8/20/2024,10:47,Eric Wagner,,,Alex Coenen,KP_06,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,8/27/2024,11:15,Alex Coenen,,,Matt Farr,KP_06,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,9/3/2024,11:15,Sarah Converse,,,Alex Coenen,KP_06,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,9/10/2024,NA,Alex Coenen,,,Sarah Converse,KP_06,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,9/17/2024,NA,Alex Coenen,,,Matt Farr,KP_06,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,9/24/2024,NA,Alex Coenen,,,Matt Farr,KP_06,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,5/30/2024,NA,Jessie Beck,,,,MAR_01,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,6/6/2024,13:15,Amelia DuVall,Sarah Converse ,,Matt Farr ,MAR_01,No,Live Eggs in Box ,No,2,0,0,0,New ,53,38.9,59.5,New,53,38.8,62.3,,,,,,,,,,,Eggs Warm,
2024,6/13/2024,10:56,Alex Coenen,Eric Wagner,Eric Wagner,,MAR_01,Yes,Live Eggs in Box ,No,2,0,0,0,Prev,NA,NA,NA,Prev,NA,NA,NA,,,,,,,,,,,,
2024,6/18/2024,11:21,Sarah Converse ,Eric Wagner,,,MAR_01,No,Live Eggs in Box ,at ~1.5m,2,0,0,0,Prev,47,NA,NA,Prev,52,NA,NA,,,,,,,,,,,,
2024,6/25/2024,17:27,Amelia DuVall,Sarah Converse,,Alex Coenen,MAR_01,Yes,Live Eggs in Box ,No,2,0,0,0,Prev,46,NA,NA,Prev,48,NA,NA,,,,,,,,,,,,
2024,7/2/2024,15:55,Alex Coenen,,,,MAR_01,No,Live egg and chick in box,No,1,1,0,0,Prev,,,,,,,,,,,,,,,,,,,
2024,7/9/2024,11:00,Sarah Converse,Alex Coenen,,Eric Wagner,MAR_01,No,Live chicks in box ,Yes (nest with chicks),0,2,0,0,,,,,,,,,32,25.1,13.5,7.7,91,29,25.6,13.2,7.4,91,,
2024,7/16/2024,11:13,Alex Coenen,,,,MAR_01,No,Empty,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,7/23/2024,11:45,Nate Redon,,,,MAR_01,No,Empty,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,7/31/2024,11:42,Alex Coenen,,,Eric Wagner,MAR_01,No,Empty,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,8/6/2024,11:32,Alex Coenen,,,Timothy Chen,MAR_01,No,Empty,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,8/15/2024,11:20,Alex Coenen,,,Eve Hallock,MAR_01,No,Empty,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,8/20/2024,13:00,Eric Wagner,,,Alex Coenen,MAR_01,No,Empty,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,8/27/2024,10:17,Alex Coenen,,,Matt Farr,MAR_01,No,Empty,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,9/3/2024,11:00,Sarah Converse,,,Alex Coenen,MAR_01,No,Empty,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,9/10/2024,NA,Alex Coenen,,,Sarah Converse,MAR_01,No,Empty,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,9/17/2024,NA,Alex Coenen,,,Matt Farr,MAR_01,No,Empty,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,9/24/2024,NA,Alex Coenen,,,Matt Farr,MAR_01,No,Empty,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,8/6/2024,11:33,Alex Coenen,,,Timothy Chen,MAR_02,No,Empty,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,8/15/2024,11:20,Alex Coenen,,,Eve Hallock,MAR_02,No,Empty,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,8/20/2024,13:00,Eric Wagner,,,Alex Coenen,MAR_02,No,Empty,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,8/27/2024,10:17,Alex Coenen,,,Matt Farr,MAR_02,No,Empty,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,9/3/2024,11:00,Sarah Converse,,,Alex Coenen,MAR_02,No,Empty,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,9/10/2024,NA,Alex Coenen,,,Sarah Converse,MAR_02,No,Empty,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,9/17/2024,NA,Alex Coenen,,,Matt Farr,MAR_02,No,Empty,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,9/24/2024,NA,Alex Coenen,,,Matt Farr,MAR_02,No,Empty,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,5/30/2024,10:04,Jessie Beck,Eric Wagner,,,MAR_03,No,Live Eggs in Box ,No,1,0,0,0,New ,57,41.8,61.7,,,,,,,,,,,,,,,,
2024,6/6/2024,13:26,Amelia DuVall,Sarah Converse ,,Matt Farr ,MAR_03,No,Live Eggs in Box ,No,2,0,0,0,Prev,58,41.5,61.2,New,56,41.1,61.3,,,,,,,,,,,Eggs Warm,
2024,6/13/2024,10:57,Alex Coenen,Eric Wagner,,,MAR_03,No,Live Eggs in Box ,Yes (nest with eggs),2,0,0,0,Prev,56,NA,NA,Prev,56,NA,NA,,,,,,,,,,,,
2024,6/18/2024,11:25,Sarah Converse ,Eric Wagner,,,MAR_03,No,Live Eggs in Box ,No,2,0,0,0,Prev,56,NA,NA,Prev,56,NA,NA,,,,,,,,,,,,
2024,6/25/2024,18:13,Amelia DuVall,Sarah Converse,,Alex Coenen,MAR_03,Yes,Live Eggs in Box ,Yes,2,0,0,0,Prev,53,NA,NA,Prev,54,NA,NA,,,,,,,,,,,,
2024,7/2/2024,15:55,Alex Coenen,,,,MAR_03,No,Live chicks in box ,Yes (nest with eggs),0,2,0,0,,,,,,,,,,,,,,,,,,,,
2024,7/9/2024,11:10,Sarah Converse,,,,MAR_03,No,Dead Chick in box,No,0,0,1,0,,,,,,,,,,,,,,,,,,,,
2024,7/16/2024,11:14,Alex Coenen,,,,MAR_03,No,Empty,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,7/23/2024,11:50,Nate Redon,,,,MAR_03,No,Empty,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,7/31/2024,11:42,Alex Coenen,,,Eric Wagner,MAR_03,No,Empty,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,8/6/2024,11:34,Alex Coenen,,,Timothy Chen,MAR_03,No,Empty,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,8/15/2024,11:20,Alex Coenen,,,Eve Hallock,MAR_03,No,Empty,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,8/20/2024,13:00,Eric Wagner,,,Alex Coenen,MAR_03,No,Empty,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,8/27/2024,10:17,Alex Coenen,,,Matt Farr,MAR_03,No,Empty,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,9/3/2024,11:00,Sarah Converse,,,Alex Coenen,MAR_03,No,Empty,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,9/10/2024,NA,Alex Coenen,,,Sarah Converse,MAR_03,No,Empty,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,9/17/2024,NA,Alex Coenen,,,Matt Farr,MAR_03,No,Empty,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,9/24/2024,NA,Alex Coenen,,,Matt Farr,MAR_03,No,Empty,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,5/30/2024,10:15,Jessie Beck,Eric Wagner,,,MAR_04,No,Live Eggs in Box ,No,2,0,0,0,New ,51,40.3,61.8,New,49,40.4,59.1,,,,,,,,,,,Eggs cool ,
2024,6/6/2024,13:33,"Amelia DuVall, Sarah Converse, Matt Farr",,,,MAR_04,Yes,Live Eggs in Box ,No,2,0,0,0,Prev,54,40.1,61.7,Prev,51,40.2,58.8,,,,,,,,,,,Eggs Warm,
2024,6/13/2024,11:01,Eric Wagner,Eric Wagner,Alex Coenen,,MAR_04,Yes,Live Eggs in Box ,Yes (nest with eggs),2,0,0,0,Prev,53,NA,NA,Prev,52,NA,NA,,,,,,,,,,,,
2024,6/18/2024,11:28,Sarah Converse ,Eric Wagner,,,MAR_04,No,Live chicks in box ,No,0,2,0,0,,,,,,,,,37,23.5,12,6.6,43,36,18.5,11.7,6,40,,
