Year,month,chla
2011,Jul,7.11
2011,Aug,5.73
2011,Sept,5.25
2011,Oct,3.1
2011,Nov,4.22
2011,Dec,3
2012,Jan,2.13
2012,Feb,2.59
2012,Mar,2.29
2012,Apr,2.34
2012,May,6.44
2012,June,2.68
2012,Jul,5.67
2012,Aug,8.27
2012,Sept,6.97
2012,Oct,4.24
2012,Nov,9.98
2012,Dec,4.89
2013,Jan,2.39
2013,Feb,2.28
2013,Mar,2.17
2013,Apr,7.09
2013,May,2.83
2013,June,2.78
2013,Jul,8.62
2013,Aug,4.69
2013,Sept,1.74
2013,Oct,2.53
2013,Nov,1.77
2013,Dec,2.07
2014,Jan,2.43
2014,Feb,2.24
2014,Mar,2.89
2014,Apr,7.54
2014,May,9.74
2014,June,10.86
2014,Jul,8.44
2014,Aug,5.13
2014,Sept,2.21
2014,Oct,1.91
2014,Nov,3.32
2014,Dec,3.86
2015,Jan,4.48
2015,Feb,3.97
2015,Mar,5.38
2015,Apr,8.53
2015,May,7.06
2015,June,10.34
2015,Jul,7.66
2015,Aug,4.34
2015,Sept,2.37
2015,Oct,2.2
2015,Nov,2.63
2015,Dec,2.41
2016,Jan,2.22
2016,Feb,3.15
2016,Mar,2.8
2016,Apr,6.82
2016,May,6.45
2016,June,3.76
2016,Jul,4.27
2016,Aug,5.52
2016,Sept,2.89
2016,Oct,2.2
2016,Nov,2.13
2016,Dec,2.48
2017,Jan,2.88
2017,Feb,2.41
2017,Mar,1.95
2017,Apr,2.5
2017,May,4.91
2017,June,4.45
2017,Jul,10.46
2017,Aug,5.22
2017,Sept,4.97
2017,Oct,4.75
2017,Nov,1.8
2017,Dec,2.32
2018,Jan,2.98
2018,Feb,2.2
2018,Mar,2.61
2018,Apr,3.32
2018,May,6.86
2018,June,4.66
2018,Jul,6.34
2018,Aug,4.98
2018,Sept,2.86
2018,Oct,1.75
2018,Nov,2.81
2018,Dec,2.88
2019,Jan,2.96
2019,Feb,2.05
2019,Mar,2.06
2019,Apr,3.12
2019,May,5.02
2019,June,3.82
2019,Jul,6.31
2019,Aug,2.57
2019,Sept,2.35
2019,Oct,2.18
2019,Nov,1.98
2019,Dec,1.74
2020,Jan,1.53
2020,Feb,2.58
2020,Mar,2.99
2020,Apr,2.41
2020,May,3.77
2020,June,4.68
2020,Jul,7.17
2020,Aug,9.38
2020,Sept,4.36
2020,Oct,4.05
2020,Nov,3.72
2020,Dec,3.32
2021,Jan,2.97
2021,Feb,2.49
2021,Mar,2.56
2021,Apr,4.58
2021,May,4.66
2021,June,5.37
2021,Jul,9.73
2021,Aug,5.26
2021,Sept,4.25
2021,Oct,2.38
2021,Nov,1.87
2021,Dec,2.35
2022,Jan,2.94
2022,Feb,2.52
2022,Mar,1.88
2022,Apr,1.45
2022,May,1.75
2022,June,1.75
2022,Jul,1.75
2022,Aug,1.75
2022,Sept,1.75
2022,Oct,1.75
2022,Nov,1.75
2022,Dec,1.75
